,freq_sta4,freq_sta2,freq_sta0,freq_sta3,freq_sta1,freq_sta5,round_time,consumption_sta0,host_consumption_sta0,consumption_sta1,host_consumption_sta1,consumption_sta2,host_consumption_sta2,consumption_sta3,host_consumption_sta3,consumption_sta4,host_consumption_sta4,consumption_sta5,host_consumption_sta5,mean_acc
0,1.3,1.7,1.5,0.67,2.16,2.16,154.82745957374573,0.044515609666666636,510126985.0,0.016863895916666666,421839299.0,0.014811242333333328,455762487.0,0.027379006916666677,657600361.0,0.021305516333333337,484436967.0,0.01593601374999999,654547496.0,0.9177566369374593
1,1.3,1.7,1.5,0.67,2.16,2.16,152.0369589328766,0.06422949533333332,995419851.0,0.0405882496666667,1069937055.0,0.028859195749999976,865950533.0,0.050040606750000056,1306717229.0,0.037384125916666656,927839391.0,0.02906957866666661,1098287730.0,0.8912550508975983
2,1.3,1.7,1.5,0.67,2.16,2.16,108.72886657714844,0.09969509850000023,1640282682.0,0.07424247541666686,1506494710.0,0.045213745499999965,1479364504.0,0.0699086874166667,1820366385.0,0.053113630416666634,1345498837.0,0.047475079499999975,1575593780.0,0.9261524478594462
3,1.3,1.7,1.5,0.67,2.16,2.16,152.62555599212646,0.12040500900000049,2178167737.0,0.09747192658333316,2201362888.0,0.06014239800000005,1900889960.0,0.09503721799999998,2604374043.0,0.0697096638333333,1801641187.0,0.06201295916666662,2109950515.0,0.9409135083357493
4,1.3,1.7,1.5,0.67,2.16,2.16,152.47902393341064,0.14094788608333408,2734485188.0,0.11078975691666605,2625672198.0,0.07872472066666661,2316435823.0,0.11831017408333325,3259512374.0,0.08504888341666661,2212279435.0,0.07626950499999995,2558081851.0,0.95345738530159
5,1.3,1.7,1.5,0.67,2.16,2.16,151.26761603355408,0.18038480916666755,3287197632.0,0.1314941178333323,3276937545.0,0.09481691100000003,2905282676.0,0.14218637641666673,3924278609.0,0.10088416641666653,2739532823.0,0.09121092725000017,3209728556.0,0.9611392319202423
6,1.3,1.7,1.5,0.67,2.16,2.16,152.21810698509216,0.1950183400833334,3839961634.0,0.15231016766666505,3695292451.0,0.11149755408333342,3496049945.0,0.16660943508333362,4577883083.0,0.11628433774999997,3149735487.0,0.10517426325000033,3656422557.0,0.9659288028875986
7,1.3,1.7,1.5,0.67,2.16,2.16,102.64393258094788,0.21412806974999987,4312743382.0,0.16822113049999843,4348368571.0,0.1250106455,3909392262.0,0.18543667708333364,5027489685.0,0.13387976416666653,3678783155.0,0.12229383016666705,4107811003.0,0.9687348206837972
8,1.3,1.7,1.5,0.67,2.16,2.16,101.88542032241821,0.23484868300000028,4791935215.0,0.18397611733333197,4763939151.0,0.13893933891666663,4323676593.0,0.2049628520000005,5477479201.0,0.15533224449999988,4209025051.0,0.1398102990833338,4561605955.0,0.9710478285948435
9,1.3,1.7,1.5,0.67,2.16,2.16,103.2080557346344,0.2531417961666673,5273567717.0,0.2059510735833322,5179270454.0,0.15278709541666655,4736157398.0,0.22879593183333388,5929212598.0,0.17735227241666668,4739003030.0,0.15430661575000032,5056117124.0,0.9730815092722574
10,1.3,1.7,1.5,0.67,2.16,2.16,153.768235206604,0.28996637125000135,5759590221.0,0.23458921808333233,5830911346.0,0.16937090950000064,5327094474.0,0.25174464058333357,6580516395.0,0.19953638091666653,5270459097.0,0.16794750633333388,5502583674.0,0.9754283924897512
11,1.3,1.7,1.5,0.67,2.16,2.16,151.2000608444214,0.31073114658333445,6312701464.0,0.27399037649999947,6482231744.0,0.18312404116666767,5738961692.0,0.27792338675000006,7234510772.0,0.21860090974999996,5797748997.0,0.18110699566666744,5949491745.0,0.9761351148287455
12,1.3,1.7,1.5,0.67,2.16,2.16,152.61807250976562,0.35056934766666714,6793707443.0,0.3219801089166662,6897499011.0,0.19753582691666813,6152878687.0,0.30696491525,7888041001.0,0.23596552616666705,6329362572.0,0.19587068450000122,6400265141.0,0.9781165520350138
13,1.3,1.7,1.5,0.67,2.16,2.16,152.0576331615448,0.38757328275000136,7271475582.0,0.3421734117500018,7552264130.0,0.2160513585833352,6568313335.0,0.32911065341666623,8546535115.0,0.25666507400000044,6859798336.0,0.21086900341666837,7055178522.0,0.9780987401803335
14,1.3,1.7,1.5,0.67,2.16,2.16,151.77645754814148,0.4324691551666695,7749788387.0,0.38242788875000444,8203853939.0,0.22979425266666884,6981913635.0,0.3542909162499994,9203814463.0,0.27426953916666735,7271912506.0,0.22830918808333556,7500988231.0,0.9794853428999583
15,1.3,1.7,1.5,0.67,2.16,2.16,151.15197348594666,0.4579707906666699,8305414683.0,0.39703601083333895,8620672166.0,0.24712532058333633,7572070478.0,0.37872426258333236,9856163478.0,0.2933387918333343,7802540429.0,0.24831187150000256,8155229910.0,0.979924738407135
16,1.3,1.7,1.5,0.67,2.16,2.16,101.988454580307,0.47721361908333604,8780769158.0,0.4208856413333416,9273267169.0,0.26190269575000313,7979748492.0,0.40025297924999914,10307379523.0,0.31093054866666797,8334533837.0,0.26202825666666973,8603132314.0,0.9813366532325745
17,1.3,1.7,1.5,0.67,2.16,2.16,152.31906533241272,0.5221413519166695,9332601887.0,0.4353718221666768,9924510330.0,0.28148665433333653,8567726951.0,0.42785274533333273,10961644913.0,0.3345959694166683,8865235976.0,0.27512167316667013,9051330816.0,0.9813573956489563
18,1.3,1.7,1.5,0.67,2.16,2.16,101.6386251449585,0.5404635016666708,9886081992.0,0.4481592310833452,10341920644.0,0.3005736998333367,8982459684.0,0.4502263999999996,11411413569.0,0.3503186650000019,9287111528.0,0.2886427133333369,9497853440.0,0.9822016259034475
19,1.3,1.7,1.5,0.67,2.16,2.16,103.52506947517395,0.5642183347500049,10441530393.0,0.4692588250000135,10761277313.0,0.31535917341666975,9396661744.0,0.47213683083333313,11865927356.0,0.36778776058333545,9818352321.0,0.30218025391667036,9946222814.0,0.9813874860604604
