,freq_sta0,time_sta0,freq_sta4,time_sta4,round_time,consumption_sta1,consumption_sta0,consumption_sta3,consumption_sta2,consumption_sta5,consumption_sta4,mean_acc,freq_sta1,time_sta1,freq_sta2,time_sta2,freq_sta3,time_sta3,freq_sta5,time_sta5
0,1.5748468941382328,18.62622046470642,2.1,18.41650938987732,18.62622046470642,0.040054902182655505,0.2174659449586555,0.0,0.04005715459074999,0.0,0.27084463103182227,0.3637597858905792,,,,,,,,
1,,,,,25.876686811447144,0.3891148509607334,0.2174659449586555,0.48257012718835535,0.5379209340452449,0.09346389641752761,0.2956413202133113,0.861599326133728,1.789479237009846,25.07972478866577,2.2369360324200467,25.876686811447144,2.2369360324200467,25.35649347305298,1.3,16.025036811828613
2,1.5748468941382328,14.318441390991211,2.1,17.780338287353516,17.780338287353516,0.4139051055988443,0.36433733506536686,0.48257012718835535,0.5379209340452449,0.23272036526701,0.5512365348751556,0.922247995932897,,,,,,,1.3,14.583960056304932
3,1.45,15.509222030639648,,,19.175004243850708,0.8297099513162174,0.5283828918151046,0.5073799111742772,0.5379209340452449,0.33762320441281535,0.5512365348751556,0.9317879180113474,2.9,19.175004243850708,,,,,1.3,16.596006155014038
4,1.3,17.526025533676147,,,22.541229486465454,0.8545103982201738,0.6523675998340708,0.9842358888490943,1.0166812281850288,0.43489867603789367,0.5760342588609277,0.9473307927449545,,,2.4134964789188245,22.541229486465454,2.4134964789188245,21.921653985977173,1.3,16.03312587738037
5,1.5748468941382328,15.205769538879395,2.1,16.067456245422363,16.067456245422363,0.8545103982201738,0.7992404650534941,0.9842358888490943,1.041497337034612,0.5245454449109106,0.7667729672356729,0.9559691548347473,,,,,,,1.3,13.116181373596191
6,1.5748468941382328,15.06155014038086,2.1,15.671454906463623,15.79646921157837,0.8793157346141076,0.9461064570106736,1.0090328180543104,1.041497337034612,0.6390220548519503,0.9975609745901566,0.96083202958107,,,,,,,1.3,15.79646921157837
7,,,,,20.185325622558594,1.31610576583567,0.9461064570106736,1.0338314655750875,1.041497337034612,0.743928321091512,1.0223589974134168,0.963564912478129,2.9,20.185325622558594,,,,,1.3,15.748289823532104
8,2.3,10.300926685333252,,,13.413018941879272,1.31610576583567,1.1025287965837465,1.0643581378883433,1.0720252778176342,0.8488320885410063,1.0223589974134168,0.9669692913691202,,,,,,,1.5334824032665761,13.413018941879272
9,,,1.3334111059262717,22.496159315109253,22.496159315109253,1.3409061650527925,1.1025287965837465,1.5240527035584859,1.0720252778176342,0.9251346301780634,1.203559166025395,0.9696151117483774,,,,,2.5,22.27268648147583,1.3,13.62122106552124
10,1.3,18.428831815719604,,,20.095173835754395,1.3409061650527925,1.302821061305075,1.5240527035584859,1.5603105464056601,1.0262242489205695,1.203559166025395,0.9724644223848978,,,2.7,20.095173835754395,,,1.3,12.965073108673096
11,1.5748468941382328,15.67184066772461,2.1,17.444274187088013,17.444274187088013,1.3657035393351216,1.4191726841519974,1.5488503194541008,1.5603105464056601,1.1406689182206433,1.434349270010984,0.9735731581846873,,,,,,,1.3,14.187029361724854
12,,,,,17.12948989868164,1.7776920920275672,1.4439782573905355,1.5736553633687902,1.5603105464056601,1.2455798371055762,1.434349270010984,0.9734757443269094,2.9,17.12948989868164,,,,,1.3,14.474058628082275
