,freq_sta4,freq_sta5,round_time,consumption_sta1,host_consumption_sta1,consumption_sta0,host_consumption_sta0,consumption_sta3,host_consumption_sta3,consumption_sta5,host_consumption_sta5,consumption_sta4,host_consumption_sta4,consumption_sta2,host_consumption_sta2,mean_acc,freq_sta0,freq_sta1,freq_sta2,freq_sta3
0,1.3,1.3,17.899005889892578,0.03436738735509448,0.00373810332,0.0,0.0028786744,0.0,0.003810513,0.11415182604613339,0.06284100648,0.31849290320216117,0.12933605076000002,0.0,0.004453414,0.35520578920841217,,,,
1,,,24.553492784500122,0.5163409236463501,0.18522482356,0.2536932602846891,0.10920682948,0.5701368567946945,0.20971208076,0.11415182604613339,0.06596589356,0.31849290320216117,0.13220071116,0.5839220346411222,0.21015749216000001,0.8898603220780691,1.3,1.600362818683918,2.5,2.5
2,1.3,1.3,16.517123460769653,0.5163409236463501,0.18886869372,0.47494821822048383,0.19085348576,0.5701368567946945,0.2135569954,0.23384840366775528,0.12092884384000001,0.559948404307356,0.24099424132000002,0.5839220346411222,0.21352457560000002,0.9178986450036367,1.3,,,
3,,1.3,11.960842370986938,0.5163409236463501,0.19266685060000002,0.6387655887040404,0.269548426,0.5701368567946945,0.21740097008,0.3517568140548004,0.17610454512,0.559948404307356,0.24389470504000002,0.5839220346411222,0.21711421956000002,0.9274206757545471,1.3,,,
4,,1.3,15.39239764213562,0.9394803683398845,0.354073825,0.6387655887040404,0.27236954164,0.6101061770071281,0.22143961448000002,0.48095412690728345,0.23082989552000002,0.559948404307356,0.24655958600000003,0.5839220346411222,0.22076535264000002,0.9349488019943237,,1.600362818683918,,
5,1.3,1.3,24.345893621444702,0.9394803683398845,0.35763128884,0.6387655887040404,0.27506643164,1.124375099797338,0.42019513284000004,0.5957230746218283,0.28573482588000004,0.7975022132169284,0.35081929456,1.0867262240740283,0.41882184764,0.9460375706354777,,,2.5,2.5
6,1.3,1.3,16.47195053100586,0.9394803683398845,0.36108088184000003,0.8099290570488362,0.35355104764,1.124375099797338,0.42400503040000004,0.7098470865276383,0.34035946644000004,1.0413322181950697,0.45505504324,1.1267821801356996,0.42291560640000003,0.953926016887029,1.3,,,
7,,1.3,16.584806203842163,1.3649468208203697,0.5219034366,1.0106209946576952,0.43251002564,1.1644322686941377,0.42788892664,0.8296889881842819,0.39510207744000003,1.0413322181950697,0.45769972388,1.1267821801356996,0.42637167664000003,0.9598879019419352,1.3,1.600362818683918,,
8,1.3,1.3,18.960042238235474,1.3649468208203697,0.525343938,1.2256080365487447,0.51062493804,1.2000594166105705,0.43155860244000005,0.988402333574701,0.44988604668000004,1.2791275831693287,0.5635326860800001,1.1609214130158323,0.42988199016,0.9640028278032938,1.3,,,
9,,1.3,23.83826470375061,1.3649468208203697,0.52894322124,1.2256080365487447,0.5131029764,1.7068777565085815,0.62856352776,1.1452476839715402,0.5048493727200001,1.2791275831693287,0.56655147976,1.6628070984040955,0.6291920560800001,0.9662006398042043,,,2.5,2.5
10,1.3,1.3,17.292171239852905,1.8724054963372598,0.70087028368,1.4291379781549471,0.59137870344,1.7068777565085815,0.63197314768,1.2602208012734408,0.56309850352,1.5341476564717045,0.67451482196,1.6628070984040955,0.63269069724,0.9704121251900991,1.3,1.600362818683918,,
11,1.3,1.3,18.8363938331604,1.8724054963372598,0.7043955844800001,1.6290831415433713,0.66970455496,1.742672024521993,0.63563557736,1.4194029098250809,0.61767370336,1.7748595608891247,0.77924807212,1.6628070984040955,0.6371949704400001,0.9718324343363444,1.3,,,
12,,1.3,25.379758596420288,1.8724054963372598,0.70777876652,1.8446153456713317,0.7486331809600001,1.742672024521993,0.63940317756,1.5425887409895083,0.67299123248,1.7748595608891247,0.78188837804,2.1609176890123125,0.83465118604,0.9719005723794302,1.3,,2.5,
13,1.3,1.3,24.297340631484985,1.8724054963372598,0.7111422444000001,1.8446153456713317,0.75143879636,2.2557861184484933,0.83800545248,1.6583236808868875,0.7272254052,1.9780310135466213,0.8865324706000001,2.1609176890123125,0.8384146848,0.973855455716451,,,,2.5
14,,1.3,16.74480366706848,2.295789801793033,0.87204686436,2.093184546034638,0.82939150924,2.2557861184484933,0.8426001309600001,1.780139076708057,0.7810325894000001,1.9780310135466213,0.8892673171200001,2.200302902740611,0.8422456879200001,0.9751002987225851,1.3,1.600362818683918,,
