,freq_sta0,time_sta0,freq_sta1,time_sta1,freq_sta2,time_sta2,freq_sta3,time_sta3,freq_sta4,time_sta4,freq_sta5,time_sta5,round_time,consumption_sta1,consumption_sta0,consumption_sta5,consumption_sta3,consumption_sta4,consumption_sta2,mean_acc
0,1.3,22.92869544029236,1.9999222274070618,23.155604362487793,2.5,22.95687699317932,2.5,24.696627855300903,1.3334111059262717,22.52508783340454,1.3,14.98721194267273,24.696627855300903,0.3547751632975612,0.17139591463475556,0.10109446213521078,0.5493209420636669,0.2326994832026945,0.5149886681135167,0.9037351608276367
1,1.3,19.19611430168152,1.9999222274070618,20.50159454345703,2.5,22.86880135536194,2.5,22.189937591552734,1.3334111059262717,22.985050916671753,1.3,13.13599681854248,22.985050916671753,0.6466109788372058,0.2705805731400447,0.1773921095136055,1.073842961612482,0.4138992893947395,0.9823068324549942,0.8812359968821207
2,1.3,17.74827241897583,1.9999222274070618,20.2025089263916,2.5,23.89762282371521,2.5,22.38094663619995,1.3334111059262717,21.529759168624878,1.3,14.201982736587524,23.89762282371521,1.0013831871406609,0.3945659471851163,0.2536941695136443,1.5506822838659753,0.5950992704385061,1.4496073892280448,0.9194549123446146
3,1.3,18.051601886749268,1.9999222274070618,20.669119119644165,2.5,24.256341695785522,2.5,23.493806838989258,1.3334111059262717,21.12761402130127,1.3,12.479974508285522,24.256341695785522,1.331360829916271,0.49374832625977316,0.3299955555397718,2.0275263493698246,0.8030000473066639,1.916910150722356,0.9331495662530264
4,1.3,19.206096649169922,1.9999222274070618,21.871822118759155,2.5,21.256373405456543,2.5,23.28916096687317,1.3334111059262717,23.168234825134277,1.3,15.52152681350708,23.28916096687317,1.6613385378638892,0.6425306803760177,0.4558877798102232,2.504370847234296,1.0089934319091038,2.384214892809811,0.9452102482318878
5,1.3,19.3523166179657,1.9999222274070618,20.406015157699585,2.5,23.09300184249878,2.5,22.968213081359863,1.3334111059262717,21.235865354537964,1.3,15.5183846950531,23.09300184249878,1.9913130841744557,0.7913140073036634,0.5321946847925263,2.9812172144226343,1.1901928248152607,2.9240153382188803,0.9544307986895243
6,1.3,18.256914377212524,1.9999222274070618,19.87473201751709,2.5,23.293312072753906,2.5,22.606870651245117,1.3334111059262717,20.951156616210938,1.3,15.346506357192993,23.293312072753906,2.2831477393344866,0.9153002667342759,0.6084919745196666,3.4580583058576506,1.3961784189786974,3.4638032642446364,0.9603342215220133
7,1.3,17.475035667419434,1.9999222274070618,21.67031741142273,2.5,22.93812108039856,2.5,24.272390365600586,1.3334111059262717,22.36836838722229,1.3,14.560764074325562,24.272390365600586,2.5749827600935777,1.0392810501268652,0.684801030178158,3.9348894847895712,1.577378762442398,4.003583447518229,0.9644680619239807
8,1.3,18.967201232910156,1.9999222274070618,20.842211723327637,2.5,21.522393465042114,2.5,22.64942765235901,1.3334111059262717,22.09714674949646,1.3,15.516467094421387,22.64942765235901,2.904954875965208,1.1632628222264625,0.81070805644167,4.411728787968332,1.7585865434625396,4.5185736114087485,0.9676874677340189
9,1.3,17.70371413230896,1.9999222274070618,21.237523794174194,2.5,22.34641981124878,2.5,25.247289896011353,1.3334111059262717,23.288151502609253,1.3,14.798056840896606,25.247289896011353,3.234945421208357,1.287260747446064,0.9118076639861998,4.961058575939584,1.9397850875430591,5.0583616900323785,0.9689616759618124
10,1.3,18.988746643066406,1.9999222274070618,19.877131700515747,2.5,24.20118522644043,2.5,22.63670039176941,1.3334111059262717,22.609970569610596,1.3,14.639365673065186,24.20118522644043,3.5649319496305747,1.4112496598541693,1.0129104999293448,5.437897551668761,2.1209843055974935,5.525663919023715,0.9708390732606252
11,1.3,21.034815311431885,1.9999222274070618,21.93266487121582,2.5,24.646035194396973,2.5,22.589845657348633,1.3334111059262717,21.769125938415527,1.3,15.78524136543274,24.646035194396973,3.8567653140669815,1.5104327685373793,1.1140003523373325,5.939537543364771,2.3021828687527495,6.040654995322311,0.9723371267318726
12,1.3,17.995285749435425,1.9999222274070618,20.495360374450684,2.5,22.57049059867859,2.5,22.601820468902588,1.3334111059262717,22.104867219924927,1.3,14.492161750793457,22.601820468902588,4.16193774920311,1.6344269789526695,1.1902950399529404,6.4640703449066015,2.5100837966292153,6.58045840526285,0.9738060534000397
13,1.3,16.393510580062866,1.9999222274070618,20.231067419052124,2.5,22.59228825569153,2.5,22.667008876800537,1.3334111059262717,21.976694107055664,1.3,15.35696816444397,22.667008876800537,4.478563088182751,1.7584095362954475,1.2665901233692596,6.965705383530191,2.716081121753651,7.047762503578054,0.9757708509763082
14,1.3,19.051818370819092,1.9999222274070618,20.55531930923462,2.5,22.922842025756836,2.5,23.34541153907776,1.3334111059262717,23.300550937652588,1.3,15.762297868728638,23.34541153907776,4.795204084339344,1.8575960021317162,1.3428854595258004,7.442546001275985,2.9240157785273317,7.539865645214744,0.9784751335779825
