,time_sta4,time_sta5,round_time,consumption_sta1,consumption_sta0,consumption_sta3,consumption_sta2,consumption_sta5,consumption_sta4,mean_acc,time_sta0,time_sta1,time_sta2,time_sta3
0,17.34350323677063,11.408003330230713,17.34350323677063,0.040054159857616733,0.03582609102685552,0.0,0.0,0.15710474610587777,0.28038233309588345,0.35516103605429333,,,,
1,,,25.20884418487549,0.49788578533851724,0.24703712572977787,0.5141800742719056,0.549251241398506,0.15710474610587777,0.28038233309588345,0.9004248877366384,12.945497989654541,20.1629900932312,24.559921741485596,25.20884418487549
2,19.252987146377563,10.893220663070679,19.252987146377563,0.5379405571771614,0.4260109025940175,0.5141800742719056,0.549251241398506,0.3501726685783949,0.5223014106244006,0.9241821666558584,11.947525262832642,,,
3,,12.438172817230225,12.438172817230225,0.5379405571771614,0.6279248041801178,0.5478868479770282,0.5848711536327618,0.4674257347105505,0.5223014106244006,0.9314084748427073,10.670860528945923,,,
4,17.938562154769897,11.972986936569214,24.022223949432373,1.008953467163644,0.667867875969923,1.0964581164607887,0.5848711536327618,0.5876022389810841,0.8042356751512132,0.941271036863327,,17.70308208465576,,24.022223949432373
5,,12.10435938835144,23.00322723388672,1.0430321282280766,0.8815810388178451,1.0964581164607887,1.0797633407845777,0.745954914544951,0.8042356751512132,0.9504238267739614,10.179638624191284,,23.00322723388672,
6,15.999505043029785,10.949204683303833,15.999505043029785,1.0430321282280766,1.0865702404421955,1.136512633969656,1.0797633407845777,0.8620805765112446,1.0461397710662597,0.9570770263671875,11.509055376052856,,,
7,,12.355993032455444,12.355993032455444,1.0430321282280766,1.0865702404421955,1.136512633969656,1.0797633407845777,0.9775475704503654,1.0461397710662597,0.9595381418863932,,,,
8,16.473880290985107,11.486012935638428,16.8062744140625,1.4646247566983412,1.1194940424412567,1.136512633969656,1.1198179107489605,1.0932799781768914,1.2953622746879885,0.9616876443227133,,16.8062744140625,,
9,,12.29411244392395,25.151270389556885,1.5046793314314073,1.3747053399453022,1.6561687049407512,1.6216462558992686,1.2134818979400315,1.2953622746879885,0.9674161871274313,10.343006372451782,,23.239561319351196,25.151270389556885
10,15.411204814910889,12.231578588485718,15.411204814910889,1.5046793314314073,1.546368011546599,1.6561687049407512,1.6216462558992686,1.3701444456299718,1.536274899345148,0.9706355035305023,10.26453185081482,,,
11,16.511521816253662,10.664974689483643,19.801167726516724,1.9185043104337602,1.583875548264595,1.6950975556740504,1.6612756675428249,1.4890625086748912,1.8219963870032918,0.9715985854466757,,19.801167726516724,,
12,,12.780185461044312,21.606210947036743,1.9585578296982498,1.7501275112102248,1.6950975556740504,2.2148650564685934,1.606023122585139,1.862050414927335,0.9743416408697764,12.876107692718506,,21.606210947036743,
13,,10.951635122299194,24.165053129196167,1.9585578296982498,1.9172625691371805,2.2012356683275387,2.2148650564685934,1.7261748773891696,1.9014693575528516,0.9753625591595968,11.317745447158813,,,24.165053129196167
14,16.47641944885254,10.909687280654907,18.163146018981934,2.416433641798913,2.0838298008649025,2.2012356683275387,2.2148650564685934,1.845400393344196,2.1442591791728596,0.9758975406487783,10.02921724319458,18.163146018981934,,
