,round_time,consumption_sta1,consumption_sta0,consumption_sta5,consumption_sta2,consumption_sta3,consumption_sta4,mean_acc
0,89.28454852104187,0.010820339250000003,0.013987011833333333,0.0073544405,0.006565017500000003,0.014029846833333316,0.011359526916666661,0.918014258146286
1,88.58888173103333,0.02074859649999991,0.0263471389166667,0.01399241749999999,0.013359007166666662,0.025577978583333313,0.024610413666666664,0.8933360973993937
2,91.0875015258789,0.03209345508333347,0.04034320724999987,0.020408114749999966,0.020958673833333306,0.03733239608333333,0.03644370191666667,0.9265180031458536
3,88.9811897277832,0.06633578925000025,0.05325190233333323,0.028337136499999926,0.026575473666666658,0.05189839758333337,0.04939839466666664,0.9443471829096476
4,90.29197549819946,0.07720267366666675,0.08778149458333298,0.03512326791666655,0.03524470474999997,0.06776333541666671,0.06354524100000004,0.9565940499305725
5,55.458354473114014,0.08784507125000016,0.10082823849999958,0.0431434942499999,0.048776752416666624,0.08257225950000008,0.07531698308333344,0.9622992773850759
6,89.07304954528809,0.1105780675833333,0.1132030916666659,0.04978648324999978,0.05654881974999998,0.09428663949999988,0.08852241299999995,0.9678030014038086
7,89.490469455719,0.12221020850000039,0.14612196191666663,0.056511505083333066,0.0632251831666667,0.10584222091666645,0.1028645288333334,0.9704871972401937
8,90.07864761352539,0.13936809633333355,0.1874241165000007,0.0630640419999997,0.06976693783333321,0.12192252591666658,0.11487972166666664,0.9728381534417471
9,55.28724217414856,0.17356100116666692,0.19982558100000172,0.07363183508333292,0.07985440841666658,0.13334537399999974,0.12651562975000008,0.9747011562188467
10,87.95887994766235,0.18494516433333338,0.21181177616666927,0.08030514033333296,0.08711842041666662,0.15006990891666638,0.14601935091666668,0.9759280383586884
11,89.01320099830627,0.21756422949999984,0.22571390491667023,0.08675627024999942,0.09291991641666664,0.16135231374999975,0.15902205033333344,0.9777219593524933
12,57.45654296875,0.227883735083333,0.2385052853333375,0.09349343258333263,0.10121220441666656,0.17293132141666628,0.170629046,0.9791516363620758
13,88.97705435752869,0.26136335991666637,0.26950230291667154,0.10147941174999923,0.10883917666666654,0.1869594703333332,0.18376781466666675,0.9798733989397684
14,55.80838441848755,0.2958783593333324,0.28246455725000674,0.11294517708333256,0.12388091208333318,0.19881476833333317,0.20071384200000048,0.9804132382074991
15,55.93645906448364,0.3222172124166657,0.29535085616667367,0.12053031641666594,0.13540250158333333,0.21575383183333313,0.21650980391666724,0.9802233378092448
16,57.34988021850586,0.33608072316666593,0.3076211135000083,0.12720057658333234,0.14000055183333338,0.2273202783333333,0.22920845308333443,0.9818376700083414
17,88.88166284561157,0.3654042422499989,0.32040376283334304,0.13459075583333274,0.15078241216666677,0.2393244374166667,0.24509292158333468,0.9825200041135153
18,57.08730912208557,0.37517317733333166,0.35298478858334514,0.14224224466666607,0.15863386675000035,0.25646213491666686,0.25782126025000146,0.9832775096098582
19,56.66991424560547,0.3881682404999983,0.3653494943333465,0.14912589083333255,0.16532829241666702,0.2710186655833335,0.2695437795000016,0.9834071298440298
