,freq_sta0,freq_sta1,freq_sta2,freq_sta3,freq_sta4,freq_sta5,round_time,consumption_sta1,host_consumption_sta1,consumption_sta0,host_consumption_sta0,consumption_sta3,host_consumption_sta3,consumption_sta5,host_consumption_sta5,consumption_sta4,host_consumption_sta4,consumption_sta2,host_consumption_sta2,mean_acc
0,2.1,2.1,2.1,2.1,2.1,2.1,105.77333331108093,2.002847144650059,0.9013872310800001,2.0028815538794342,0.89825048348,1.962780686358128,0.8935628024400001,2.002833201019987,0.8943440970800001,2.042904453428246,0.8947297968000001,2.04293602847015,0.89964499436,0.9694166680177053
1,2.1,2.1,2.1,2.1,2.1,2.1,105.87544226646423,3.9656310864293394,1.7897196662800001,4.005736290273364,1.79367542508,3.965601863937872,1.7964149882,3.965610226618862,1.8001577398000002,4.085820133926614,1.8037004728400001,4.045819626525168,1.8005385011600001,0.9691166679064432
2,2.1,2.1,2.1,2.1,2.1,2.1,106.73400378227234,5.9270031943357955,2.69135726244,6.00859725615729,2.69759763756,5.968436730817929,2.70144672168,5.968437105954335,2.70425860936,6.088662684745064,2.71289681936,6.048671676560817,2.7148994706400003,0.9804833233356476
3,2.1,2.1,2.1,2.1,2.1,2.1,108.53118109703064,7.929875487432198,3.5962307788400003,7.97137754353557,3.6036256382,7.931222595966178,-69.79685409816,7.971295937057681,3.59866641736,8.09151031262169,3.61897197032,8.051515936157452,3.6242963498000003,0.9848166704177856
4,2.1,2.1,2.1,2.1,2.1,2.1,105.71600675582886,9.932706108594523,4.4919244062,9.934156544958928,4.498008033680001,9.934045051553058,-68.89075264596,9.89400132875368,4.493002225880001,10.094360537841158,4.52301816932,10.054353417865508,4.526878448120001,0.9867333372433981
5,2.1,2.1,2.1,2.1,2.1,2.1,105.26328158378601,11.895496151109406,5.387981738720001,11.896921838007305,5.39805855148,11.9368922788603,-67.99248714076,11.89683800296469,5.38694546516,12.137287642515279,5.42691204664,12.057220707023527,5.43215846236,0.9879499971866608
6,2.1,2.1,2.1,2.1,2.1,2.1,107.7402925491333,13.897833339122023,6.28038976684,13.899753018695154,6.2914630002,13.939726422490013,-67.09828511092,13.898993246633458,6.28633286484,14.140128832669422,6.33513311256,14.060052402729136,6.33375458184,0.9888166685899099
7,2.1,2.1,2.1,2.1,2.1,2.1,107.74553513526917,15.900685482941832,7.17696280168,15.862399253616235,7.1874039854400005,15.942562131837422,-66.20300741488,15.901833214415097,7.17832215828,16.142995438316152,7.23707709536,16.062903948873902,7.23709891996,0.9890999992688497
8,2.1,2.1,2.1,2.1,2.1,2.1,107.09235143661499,17.9035369511981,8.06980140708,17.86523598823057,8.079507575720001,17.86528181845648,-65.30954354484,17.904689015815002,8.0721110078,18.145853778245087,8.14604896756,18.10580732934836,8.14478770672,0.9893666803836823
9,2.1,2.1,2.1,2.1,2.1,2.1,106.21940493583679,19.866325671198076,8.963199173320001,19.828030783533126,8.974671539120001,19.86812231238285,-64.41059039716001,19.907543307131824,8.9639485096,20.148697729466907,9.04929536364,20.148701118411104,9.05341846668,0.9895833432674408
10,2.1,2.1,2.1,2.1,2.1,2.1,145.67215037345886,22.910751544769944,10.13153039612,21.829840796782396,9.87342107948,21.870950811481165,-63.514728606000006,21.910375538519567,9.86305455996,22.19161445748617,9.95272602184,22.19161311430681,9.96314504136,0.9898500144481659
11,2.1,2.1,2.1,2.1,2.1,2.1,105.21149015426636,24.91358569634742,11.026855020440001,23.832658539320466,10.77124720616,23.873789978124037,-62.61294145624,23.913202689669966,10.76475759324,24.154412950107858,10.85822223864,24.19445791435418,10.87134672764,0.9895333349704742
12,2.1,2.1,2.1,2.1,2.1,2.1,106.8077003955841,26.916435853215724,11.920442773960001,25.83550095343664,11.66776915892,25.876664072193094,-61.708766810600004,25.91604579047661,11.6674198942,26.15720111250329,11.76408219504,26.237378409633173,11.78572895724,0.9898500045140585
13,2.1,2.1,2.1,2.1,2.1,2.1,107.60177183151245,28.91927683990597,12.8141387402,27.838342849355872,12.564150753,27.879520698575178,-60.806839558920004,27.918899407819517,12.56579058756,28.2000834742112,12.66905033716,28.280268928968717,12.690979183400001,0.99003333846728
14,2.1,2.1,2.1,2.1,2.1,2.1,106.99186849594116,30.922106683772974,13.70777092776,29.841186910257353,13.462294254360001,29.84229327976128,-59.91365362052,29.921741559658052,13.46517005764,30.243001626477028,13.57339786348,30.32317888386796,13.6013042774,0.9897333383560181
