,freq_sta0,freq_sta1,freq_sta2,freq_sta3,freq_sta4,freq_sta5,round_time,consumption_sta0,host_consumption_sta0,consumption_sta1,host_consumption_sta1,consumption_sta5,host_consumption_sta5,consumption_sta4,host_consumption_sta4,consumption_sta2,host_consumption_sta2,consumption_sta3,host_consumption_sta3,mean_acc
0,2.1,2.1,2.1,2.1,2.1,2.1,106.98889780044556,2.161863035975439,0.91052171252,2.5977394176719955,0.95366147716,2.0343302765481663,0.92345621284,2.0342464224308685,0.91222404392,2.478481536663182,0.94049216296,2.293504725038635,0.92520677228,0.9677000045776367
1,2.1,2.1,2.1,2.1,2.1,2.1,108.8592140674591,4.292304498985936,1.81332695264,5.15028868272973,1.90048411224,4.069415532631238,1.82598292324,4.036576964488493,1.81807772832,4.954200436779551,1.8742807832000001,4.571905825073267,1.8439076964,0.966649999221166
2,2.1,2.1,2.1,2.1,2.1,2.1,107.92124891281128,6.47678021645259,2.70336505236,7.737750271661795,2.84463588444,6.101741528395257,2.7408195024,5.9992675306793934,2.7220867396800004,7.390434710426163,2.7982058888,6.871830027629472,2.76097933048,0.9797333280245463
3,2.1,2.1,2.1,2.1,2.1,2.1,108.57807731628418,8.65199099259403,3.60655192436,10.392515965132034,3.80157873984,8.102667284694027,3.65456939232,8.000275076255544,3.62462146536,9.828101944802341,3.73147299672,9.152303656254546,3.6804741106,0.9848333199818929
4,2.1,2.1,2.1,2.1,2.1,2.1,145.4174518585205,10.791337698325002,4.50455149564,12.974049503670052,4.75266613472,10.0625728841836,4.564523637240001,9.99190211782415,4.534763835000001,12.251877844082856,4.66287594948,12.756599697525402,4.96983630556,0.9867166578769684
5,2.1,2.1,2.1,2.1,2.1,2.1,109.90145659446716,12.973241052889001,5.41407401836,15.533994120729652,5.711118566440001,12.100077058066608,5.4804459654,11.949440452302124,5.43979380784,14.74061384293762,5.598926507160001,15.02880780229917,5.89321940788,0.9877333343029022
6,2.1,2.1,2.1,2.1,2.1,2.1,109.71446442604065,15.146262865088595,6.31669838016,18.11898808770932,6.664081942,14.097725926187001,6.39113833624,13.990063782214431,6.3447596091600005,17.210399062434504,6.53697426452,17.341931677403863,6.80989416576,0.9879000087579092
7,2.1,2.1,2.1,2.1,2.1,2.1,110.49758768081665,17.275429474655006,7.219472311800001,20.720275523408823,7.61940439372,16.093886067005393,7.303858976120001,15.987943108083865,7.251223143080001,19.668183569231743,7.474776424640001,19.697089912889055,7.72970303924,0.9884166618188223
8,2.1,2.1,2.1,2.1,2.1,2.1,108.70533418655396,19.40616944770479,8.122905601720001,23.374402032102374,8.57625296472,18.129645673725513,8.22424432256,17.997983034246854,8.163858094,22.16034931164046,8.42409869896,22.050524518910294,8.65220087256,0.9888833264509836
9,2.1,2.1,2.1,2.1,2.1,2.1,147.44519233703613,21.58888454026225,9.02421410016,25.959048241260483,9.52939222872,20.168765237498114,9.13397980124,20.000923099870814,9.07757327456,26.128577489774642,9.788867551680001,24.403765449626718,9.57855018344,0.9890333314736685
10,2.1,2.1,2.1,2.1,2.1,2.1,109.21095252037048,23.767761627979546,9.93225107504,28.594841392691585,10.483808254640001,22.168432163128806,10.04501902628,22.003714520866534,9.98067900452,28.564318691102017,10.7229254048,26.672542885721924,10.498294577120001,0.9892166554927826
11,2.1,2.1,2.1,2.1,2.1,2.1,105.36090111732483,25.945051914063804,-62.561363003720004,31.176577797376886,11.44534573728,24.166593087696803,10.96379451328,24.00716249895228,10.88918172748,31.002538059530224,11.662441107520001,29.028740997780062,11.425240612520001,0.9894166688124338
12,2.1,2.1,2.1,2.1,2.1,2.1,108.31818699836731,28.074604171820077,-61.655284896240005,33.75778991871055,12.403189379,26.167946470904802,11.8751813796,25.998680482322666,11.7918224956,33.43570535767006,12.59331472056,31.341804151650308,12.34436367276,0.989466667175293
13,2.1,2.1,2.1,2.1,2.1,2.1,121.32731556892395,30.21292785827375,-60.745265026320006,36.39776383045474,13.37013559504,28.16805608453631,12.7856590344,28.000228788641035,12.706265615960001,35.91280498235872,13.534422406680001,33.64563072355517,13.27250235416,0.9894833266735077
14,2.1,2.1,2.1,2.1,2.1,2.1,109.81252598762512,32.3093036183219,-59.837538094600006,39.036330864577586,14.331338134680001,30.20310546104593,13.707991404240001,29.996435190456477,13.62262704936,38.40010790285646,14.484308986,35.95523837662327,14.2016406518,0.9895666738351186
