,freq_sta0,freq_sta2,freq_sta1,consumption_sta0,consumption_sta1,consumption_sta2,mean_acc
0,2.03,2.03,2.03,1.0490966906666641,0.786638857416667,0.5026262321666674,0.9751011530558268
1,2.03,2.03,2.03,1.0490966906666641,0.786638857416667,0.5026262321666674,0.9751011530558268
2,2.03,2.03,2.03,1.0490966906666641,0.786638857416667,0.5026262321666674,0.9751011530558268
3,2.03,2.03,2.03,1.0490966906666641,0.786638857416667,0.5026262321666674,0.9751011530558268
4,2.03,2.03,2.03,1.0490966906666641,0.786638857416667,0.5026262321666674,0.9751011530558268
5,2.03,2.03,2.03,1.0490966906666641,0.786638857416667,0.5026262321666674,0.9751011530558268
6,2.03,2.03,2.03,1.0490966906666641,0.786638857416667,0.5026262321666674,0.9751011530558268
7,2.03,2.03,2.03,1.0490966906666641,0.786638857416667,0.5026262321666674,0.9751011530558268
8,2.03,2.03,2.03,1.0490966906666641,0.786638857416667,0.5026262321666674,0.9751011530558268
9,2.03,2.03,2.03,1.0490966906666641,0.786638857416667,0.5026262321666674,0.9751011530558268
