,freq_sta1,freq_sta2,freq_sta0,consumption_sta0,consumption_sta1,consumption_sta2,mean_acc
0,2.03,2.03,2.03,0.09497747800000002,0.07154367133333331,0.05155366633333332,0.9164332350095113
1,2.03,2.03,2.03,0.21512850424999985,0.16283401658333307,0.09719121208333333,0.9109866221745809
2,2.03,2.03,2.03,0.31861087658333326,0.23920521274999954,0.15172814049999978,0.931061307589213
3,2.03,2.03,2.03,0.43283760541666655,0.3274005768333331,0.19662185374999921,0.9452225168546041
4,2.03,2.03,2.03,0.5262905251666666,0.3880364785833327,0.24632282983333217,0.9570494890213013
5,2.03,2.03,2.03,0.6231069581666673,0.46404947149999964,0.29951078333333214,0.964674731095632
6,2.03,2.03,2.03,0.7353432004166676,0.5569667784999996,0.35428672949999934,0.9690320491790771
7,2.03,2.03,2.03,0.8530575848333352,0.6150459792499989,0.4035537647499998,0.9744786620140076
8,2.03,2.03,2.03,0.9742808904166683,0.6974316607499983,0.4582505733333332,0.97805788119634
9,2.03,2.03,2.03,1.0585510662500008,0.7834555151666642,0.5104591909166672,0.9785247445106506
