,T,freq_sta0,tgt_acc_sta0,n_epochssta0,time_sta0,freq_sta2,tgt_acc_sta2,n_epochssta2,time_sta2,freq_sta3,tgt_acc_sta3,n_epochssta3,time_sta3,freq_sta4,tgt_acc_sta4,n_epochssta4,time_sta4,round_time,consumption_sta1,consumption_sta5,consumption_sta3,consumption_sta0,consumption_sta4,consumption_sta2,mean_acc,freq_sta1,tgt_acc_sta1,n_epochssta1,time_sta1,freq_sta5,tgt_acc_sta5,n_epochssta5,time_sta5
0,26.727063618908854,1719673350.4908016,0.7409324088054664,2.0,6.239810943603516,1305184968.016879,0.7482163938793969,2.0,7.944707155227661,1307457185.5398915,0.8513040379022015,3.0,10.521389484405518,1306226401.8285193,0.738493722803804,2.0,7.440464973449707,10.521389484405518,0.04005471143532224,0.0,0.2244390538947334,0.08297029111500565,0.12554083589122755,0.13855852276725567,0.5684851066519817,,,,,,,,
1,25.937432719292392,1569371941.2307405,0.826401638391718,3.0,6.604082345962524,1306801714.3691323,0.8658177387218026,3.0,10.03259539604187,1361934982.6927724,0.9325372769352571,4.0,13.089181423187256,,,,,13.089181423187256,0.22640688445301693,0.0,0.4542784032303002,0.12101550800576111,0.12554083589122755,0.3324752549774941,0.7175879975159963,1304971091.446401,0.7389619456872433,2.0,6.783184766769409,,,,
2,20.184230733408597,1901839318.832029,0.9299101285636191,4.0,7.48553729057312,,,,,1333983507.4517593,0.8603546466820694,3.0,7.777254819869995,1322316592.6335506,0.8854499223859822,4.0,8.095718622207642,9.011797189712524,0.3691461961453446,0.0,0.5951372688968668,0.20939075833390075,0.29013581649121645,0.3725315861755887,0.8669502834479014,1873288746.0399084,0.8687738577151027,3.0,9.011797189712524,,,,
3,15.040451333986239,1754964523.4395328,0.9170210935014896,4.0,7.364535808563232,1378374189.1947637,0.9661897152331378,5.0,13.666684627532959,1357753985.8977895,0.9598335111461064,5.0,15.673687219619751,,,,,15.673687219619751,0.5617916879838991,0.0,0.8704324135309012,0.33580035295479527,0.29013581649121645,0.707271096246487,0.8909342984358469,1349735331.1741538,0.8995180544385384,4.0,10.405574321746826,,,,
4,22.379166740160187,1480942819.9298568,0.9363466615244305,4.0,6.839838981628418,1362099788.2311125,0.9514979471757777,9.0,22.342533111572266,1300221759.4297419,0.9299400393986125,4.0,11.548012971878052,,,,,22.342533111572266,0.5617916879838991,0.08503872340645025,1.1000526037178346,0.4227137967878838,0.3301904182468214,1.2780442336896665,0.9110023279984792,,,,,1681889050.852606,0.9233394304800507,4.0,7.745857238769531
5,15.488707146891961,1691430286.6129076,0.9276716150330707,4.0,5.587536096572876,,,,,,,,,1332740505.5901575,0.981772257035292,7.0,12.371270418167114,12.371270418167114,0.8444033678216258,0.16514852300307759,1.1000526037178346,0.5457488310583829,0.5385004053691784,1.2780442336896665,0.9210117757320404,1356091244.8122523,0.9583107605799162,5.0,10.261368036270142,1325512853.2900074,0.9507637521623805,6.0,8.082369804382324
6,45.57374440727598,1443503330.6898746,0.959558423308844,5.0,8.559972047805786,,,,,1316528254.0984714,0.9568723429118817,5.0,13.580612659454346,,,,,13.580612659454346,1.0869576498657527,0.3305789355944775,1.3772565934764422,0.6716464741426604,0.5785710171842962,1.2780442336896665,0.9275862773259481,1333610417.151974,0.9509597376006187,5.0,11.467456579208374,1659824180.886852,0.9712453169869348,7.0,7.520875930786133
7,45.402949894261326,1343024881.9429681,0.9488758797427564,5.0,7.649277925491333,1349141465.8745394,0.9811031471974629,6.0,17.66986918449402,1473987654.8436406,0.9307184910029348,4.0,8.440315008163452,,,,,17.66986918449402,1.0869576498657527,0.41610034353836767,1.5155935330143713,0.8375892356609553,0.5785710171842962,1.6490352426693387,0.9341714878877004,,,,,1800485992.0970674,0.9183240985849356,5.0,5.603297233581543
8,34.410230340585485,,,,,1444839907.3534954,0.9362691559454294,4.0,10.022109985351562,1428997871.2570193,0.9363091189247207,4.0,7.795994997024536,,,,,11.366666316986084,1.3657223470221784,0.5415517713857803,1.6919377800001136,0.8375892356609553,0.5785710171842962,1.8429542209294285,0.9386363327503204,1340829821.6628559,0.952464162406535,5.0,11.366666316986084,2068432921.348445,0.9368290719218486,4.0,6.043414831161499
9,17.949653972429704,1670710630.7352982,0.9466904774688404,5.0,6.150859117507935,1411235383.043358,0.9821895861815113,8.0,19.49649977684021,1319674767.352703,0.9511931456578128,5.0,14.205496311187744,,,,,19.49649977684021,1.3657223470221784,0.666970180869793,2.0071450587960484,0.9176638248894113,0.5785710171842962,2.316388315430004,0.9446761806805929,,,,,1794984236.4983087,0.9712758907278097,6.0,8.02054476737976
