,freq_sta5,round_time,consumption_sta1,host_consumption_sta1,consumption_sta0,host_consumption_sta0,consumption_sta2,host_consumption_sta2,consumption_sta3,host_consumption_sta3,consumption_sta4,host_consumption_sta4,consumption_sta5,host_consumption_sta5,mean_acc,freq_sta0,freq_sta1,freq_sta2,freq_sta3,freq_sta4
0,1.3,10.5429847240448,0.0,0.00354057928,0.0,0.00284916016,8.369708333333327e-05,0.00385016128,0.0,0.00352051588,0.0,0.0026446464800000003,0.0025053378333333336,0.058194409280000005,0.21721324945489565,,,,,
1,,24.095484972000122,0.01234426375,0.16466799888,0.007346917333333335,0.08417611748,0.014713198000000004,0.20053943812000002,0.017514357,0.19898377044,0.007696289833333335,0.11055138668,0.0025053378333333336,0.060214970480000005,0.907071441411972,1.3,1.600362818683918,2.5,2.5,1.3
2,1.3,14.670474529266357,0.01234426375,0.16808599304000002,0.01454478016666667,0.16016784420000002,0.014713198000000004,0.20386538676000002,0.01757265666666667,0.20305792724000002,0.015315228083333337,0.21277134228000003,0.006255195333333334,0.11363459156000001,0.9245729347070059,1.3,,,,1.3
3,1.3,17.06165337562561,0.025660116666666666,0.32408508832,0.01454478016666667,0.16299548832000002,0.014713198000000004,0.20728700384,0.01757265666666667,0.20665057924000002,0.015315228083333337,0.21560573692,0.006285880666666666,0.16718366868,0.9317504664262136,,1.600362818683918,,,
4,1.3,24.49868893623352,0.025660116666666666,0.3275718348,0.01823494125,0.23953456772,0.03218970708333334,0.40070086644,0.01757265666666667,0.21033076512,0.022678471666666672,0.31894495500000003,0.009946919666666668,0.22040323704,0.9449300964673361,1.3,,2.5,,1.3
5,1.3,22.7354416847229,0.025660116666666666,0.33098646224,0.025490764583333336,0.31577014896,0.03218970708333334,0.4044036962,0.03520777550000001,0.40297493768000003,0.022678471666666672,0.32160581964,0.013640154833333331,0.27356463204000003,0.9516020814577738,1.3,,,2.5,
6,1.3,17.926417350769043,0.039325968,0.48699868252,0.032554813833333335,0.39130704788000004,0.03218970708333334,0.4085025994,0.03520777550000001,0.4064613602,0.029773838333333337,0.42523570096,0.017392676333333332,0.32673453736,0.9590327739715576,1.3,1.600362818683918,,,1.3
7,1.3,14.739662885665894,0.039325968,0.49099352624000003,0.032554813833333335,0.39439893472000004,0.03232032941666667,0.41207781972,0.03520777550000001,0.41025437292,0.03803962600000001,0.5274571946000001,0.02093747675,0.38009637848,0.959393153587977,,,,,1.3
8,1.3,23.051319360733032,0.039325968,0.49466814096,0.03614043758333334,0.47031943112,0.04942592583333334,0.60430274492,0.03520777550000001,0.41387293332,0.03803962600000001,0.53041839508,0.021026285999999995,0.43319498488,0.9645276268323263,1.3,,2.5,,
9,1.3,24.462562561035156,0.039325968,0.49816182612000004,0.043503897000000014,0.54643712676,0.04942592583333334,0.6086994720800001,0.05278350008333334,0.60627178136,0.03803962600000001,0.53512940348,0.02106462725,0.48593557768,0.9683209856351217,1.3,,,2.5,
10,1.3,15.61084270477295,0.049387612333333344,0.655052223,0.043503897000000014,0.54943045668,0.049470853083333335,0.6119467054400001,0.05278350008333334,0.6098363373200001,0.04554049108333334,0.63650228628,0.021101214083333337,0.5382025944400001,0.9698092738787333,,1.600362818683918,,,1.3
11,1.3,13.646428346633911,0.049387612333333344,0.6583494604400001,0.04718539391666668,0.62513941616,0.049470853083333335,0.61599920956,0.05278350008333334,0.6142606302,0.045584027750000006,0.6406248760800001,0.021135072166666675,0.59246474336,0.9734174609184265,1.3,,,,
12,1.3,12.958883285522461,0.049387612333333344,0.6619158282800001,0.04718539391666668,0.62802333692,0.049470853083333335,0.6197067564800001,0.05283921591666667,0.6186378408000001,0.04564122975000001,0.64360800308,0.022195211583333336,0.6470696792,0.9739233354727427,,,,,
13,1.3,12.885202407836914,0.049387612333333344,0.6653441104800001,0.04718539391666668,0.63089279988,0.049470853083333335,0.62397235348,0.05283921591666667,0.62238659112,0.04564122975000001,0.6470943906000001,0.022237249749999997,0.69943320216,0.9726105233033498,,,,,
14,1.3,11.762713193893433,0.049387612333333344,0.6688349416,0.04718539391666668,0.63348631388,0.049470853083333335,0.6276783447200001,0.05283921591666667,0.6260026561600001,0.04564122975000001,0.64961486268,0.025972649500000004,0.75295308928,0.9734469850858053,,,,,
