,T,freq_sta0,tgt_acc_sta0,n_epochssta0,time_sta0,freq_sta2,tgt_acc_sta2,n_epochssta2,time_sta2,freq_sta3,tgt_acc_sta3,n_epochssta3,time_sta3,freq_sta4,tgt_acc_sta4,n_epochssta4,time_sta4,freq_sta5,tgt_acc_sta5,n_epochssta5,time_sta5,round_time,consumption_sta1,consumption_sta0,consumption_sta5,consumption_sta2,consumption_sta3,consumption_sta4,mean_acc,freq_sta1,tgt_acc_sta1,n_epochssta1,time_sta1
0,6.0920327299418195,1764006781.647314,0.7424044748976253,2.0,6.836711645126343,1305139769.1373236,0.7437980149843426,2.0,8.097981214523315,1307520733.1147034,0.851102199848476,3.0,10.924832820892334,1448902788.0044441,0.8684165220041364,3.0,7.784000873565674,1790873452.5380456,0.8092155755051392,3.0,6.514004468917847,10.924832820892334,0.039739919521561085,0.08265967179916112,0.11986975235687236,0.13891956614066658,0.1843905862554558,0.08550730694727227,0.6850846732656161,,,,
1,13.344449595052254,1373546214.5906894,0.870240065582724,3.0,6.37546443939209,,,,,1319800345.5810797,0.8669613413705561,5.0,23.586275577545166,1996536796.052733,0.9523760812919643,9.0,15.208963632583618,1611035541.7905917,0.8910479477281856,4.0,6.315452337265015,23.586275577545166,0.27245178381574986,0.20558782080142757,0.15992539686456642,0.17897742331742728,0.7738816387119885,0.33124724430978914,0.6941094944874445,2489581404.6864595,0.8729585079207284,3.0,8.367318153381348
2,10.149766840703325,1435453746.4613073,0.9519668639489527,6.0,7.682290315628052,1380312399.0500002,0.8977298393092263,4.0,11.787471532821655,,,,,1306859112.5693147,0.9069405067991346,4.0,10.97005009651184,1537002960.4398918,0.9003341610551308,7.0,7.451519012451172,11.787471532821655,0.31536753039934995,0.37075101863268356,0.280090960185972,0.4193078982401819,0.7738816387119885,0.419304936887833,0.8712124327818552,1348135045.563022,0.8293937710190884,3.0,4.728408575057983
3,11.78117916835033,1793347128.3671625,0.9250461242819498,4.0,5.831362962722778,1348486125.0727038,0.9271398665554564,4.0,12.553173780441284,1324828575.5621922,0.9370170391427871,4.0,12.945443153381348,,,,,1368632050.7119462,0.9614227846716901,7.0,9.325971126556396,12.945443153381348,0.5564387662328625,0.49380302623672845,0.4056634235746275,0.6606971273635314,1.0037195351886998,0.419304936887833,0.8966260055700938,1707508450.2637577,0.9545029103127824,5.0,12.277756929397583
4,13.427255121889553,,,,,2040761557.070985,0.9948139383972832,8.0,17.1512930393219,1549668298.8638394,0.9649888766832215,5.0,13.41666030883789,1890237999.7091305,0.9636519189612158,5.0,12.872752666473389,2041212522.7282975,0.9640672847337552,6.0,9.653554201126099,17.1512930393219,0.7462203394592835,0.49380302623672845,0.48577711441685434,1.0466207770271574,1.3270185399927508,0.5847734433112612,0.9126663605372111,1311899845.3770466,0.923829153696975,4.0,9.485244035720825
5,10.167286085455665,1787962630.7057185,0.9515141424211861,5.0,7.220974445343018,1352252648.3342214,0.9541933831808682,5.0,14.119464874267578,1305650865.4538646,0.9160744675841687,5.0,13.723031997680664,1806991855.9774952,0.9191862419255611,4.0,8.92770266532898,1937763280.7428524,0.9381057983182196,8.0,9.138493299484253,14.119464874267578,0.7862746884746721,0.6193745342991551,0.5658948920207001,1.3278812870022911,1.5566911793381069,0.7103429898552771,0.9221787552038828,,,,
6,12.996150668302452,1719513648.0921574,0.9812555098658906,6.0,7.34059476852417,1708574709.5261693,0.9502141286293947,5.0,13.793139219284058,1344601737.0528715,0.9668742644100149,5.0,15.008808612823486,1965827266.994694,0.9837735623585707,7.0,15.329406023025513,1625138634.4343874,0.9820740480177208,8.0,9.783578395843506,15.329406023025513,0.8263287100404733,0.7452761767191877,0.6860555515460822,1.6086291396756771,1.8319981487172479,0.9139488043924326,0.9303880830605825,,,,
7,19.67412683207543,,,,,1454789991.8267694,0.9618503095308406,6.0,17.30110239982605,1344613500.417238,0.9623203886228965,6.0,16.089251041412354,1734212116.9760494,0.9736619538069483,6.0,13.25908899307251,1725830625.2952502,0.9783734219330922,16.0,14.096415281295776,17.30110239982605,1.2656545442591765,0.7452761767191877,0.9651958842469233,2.0337943385343804,2.152752987843159,1.1194127459277854,0.9412335256735483,2276427660.6224055,0.9677008401767188,9.0,15.893910646438599
8,12.082099141341487,1848723701.4212255,0.9524167938610569,9.0,12.379510402679443,1411236631.9510057,0.9813968431719002,6.0,16.19115662574768,1842184417.7577188,0.9451950853660323,6.0,17.37261986732483,1545173113.917362,0.9649212819443088,5.0,10.948172330856323,1490885719.1288342,0.9232332495725125,5.0,3.8279929161071777,17.37261986732483,1.3057112283398369,0.9569994411319239,1.0052453517201405,2.3637140910838843,2.5575376305053164,1.2449920031006303,0.9460191329320272,,,,
9,22.231816032037962,1584810932.6622791,0.9715392513528529,6.0,8.527913093566895,1618723232.444911,0.9898360455688844,9.0,23.20838236808777,1302796309.7437828,0.983215046611695,8.0,20.124380350112915,1526180435.1962028,0.9607640811257833,5.0,9.45782995223999,,,,,27.719238996505737,2.0449916822798344,1.0828920151058168,1.0052453517201405,2.93369837544489,3.0146264222877663,1.4106150259909849,0.9545288185278574,2163250395.3497477,0.9996112529707695,17.0,27.719238996505737
