,freq_sta5,time_sta5,round_time,consumption_sta0,consumption_sta1,consumption_sta4,consumption_sta5,consumption_sta2,consumption_sta3,mean_acc,freq_sta0,time_sta0,freq_sta2,time_sta2,freq_sta3,time_sta3,freq_sta1,time_sta1,freq_sta4,time_sta4
0,2.1,12.58025312423706,12.58025312423706,0.0,0.040054010438872245,0.04006447134054447,0.16018780002322774,0.0,0.0,0.23200961124772826,,,,,,,,,,
1,,,25.92879867553711,0.1392511469988833,0.0877466822301669,0.04006447134054447,0.16018780002322774,0.5493237969154228,0.5722460788138108,0.7642613276839256,1.3,19.34338641166687,2.4132145284032807,25.92879867553711,2.4137783635734684,23.66208052635193,,,,
2,1.3,16.151156902313232,21.393702507019043,0.29375907957305514,0.5130965626570057,0.2746689084222105,0.2708136139258608,0.5493237969154228,0.5722460788138108,0.8843472997347513,1.3508917633653788,16.799883365631104,,,,,2.704937359641338,20.152552366256714,1.802941147215272,21.393702507019043
3,1.3,16.141756296157837,16.683170080184937,0.4101080875919496,0.5378943979120561,0.5054663816131102,0.36046546780487176,0.5741191476864564,0.5722460788138108,0.8731353481610616,1.5734693877551018,14.078125238418579,,,,,,,2.1,16.683170080184937
4,1.5361673151750972,12.2270827293396,13.037163734436035,0.5665114032976442,0.5378943979120561,0.5359940458124992,0.49589045060432735,0.5741191476864564,0.5722460788138108,0.7918298343817393,2.3,13.037163734436035,,,,,,,,
5,1.3,13.029949188232422,19.58594298362732,0.5665114032976442,0.9422533735938263,0.7705981538550155,0.581723169323145,0.5741191476864564,0.5970430111981497,0.8756746053695679,,,,,,,2.7889530016953383,19.50620746612549,1.8589406909862052,19.58594298362732
6,1.3,14.939723014831543,22.324188232421875,0.6904921358242733,0.9670553019687376,0.7705981538550155,0.6790055412330043,1.0528703638427324,1.0738933252667278,0.9521309236685435,1.3,19.48690938949585,2.4132145284032807,22.324188232421875,2.4137783635734684,21.892865896224976,,,,
7,1.3,16.070149183273315,17.205711603164673,0.8068526538551735,0.9918512440565046,1.001390656488324,0.7686515137359047,1.0528703638427324,1.0986960261683394,0.8680505404869715,1.5734693877551018,13.681513786315918,,,,,,,2.1,17.205711603164673
8,1.5361673151750972,13.677610874176025,13.677610874176025,0.993780526168283,0.9918512440565046,1.001390656488324,0.9041058175796151,1.0528703638427324,1.0986960261683394,0.8455831706523895,2.3,11.112727880477905,,,,,,,,
9,1.3,14.217896461486816,19.775573015213013,1.1311111956343838,1.3923990768913506,1.235997099596112,0.989940836393358,1.0528703638427324,1.0986960261683394,0.8932298521200815,1.3508917633653788,17.63027596473694,,,,,2.704937359641338,19.775573015213013,1.802941147215272,19.363219261169434
10,1.3,14.71894097328186,23.427479028701782,1.2551145062870324,1.3923990768913506,1.235997099596112,1.0872325326686996,1.5316273993822396,1.575535402466914,0.9691922763983408,1.3,18.02539563179016,2.4132145284032807,23.427479028701782,2.4137783635734684,21.763882398605347,,,,
11,1.3,14.76355528831482,15.451854228973389,1.4019991342586733,1.4172085683980271,1.4267330405449634,1.2016825269984954,1.556433881849733,1.6003455647683809,0.9043825070063273,1.5734693877551018,15.00884485244751,,,,,,,2.1,15.451854228973389
12,1.3,13.319292545318604,18.91556453704834,1.5317302217322675,1.817756774779734,1.6613378511734922,1.33713097171995,1.556433881849733,1.6003455647683809,0.9347000618775686,1.3508917633653788,16.223535537719727,,,,,2.704937359641338,18.2096951007843,1.802941147215272,18.91556453704834
13,1.3,13.793078184127808,21.905922889709473,1.6557141015898968,1.817756774779734,1.6613378511734922,1.4382208749938945,2.044717846997651,1.6251477744956078,0.9353187183539072,1.3,18.64989686012268,2.7,21.905922889709473,,,,,,
14,1.3,14.42643666267395,23.451533794403076,1.7797085377228645,1.817756774779734,1.8692408661436914,1.5145267324554288,2.0695175118375406,2.079107966666195,0.927410900592804,1.3,17.84873628616333,,,2.5,22.400798559188843,,,1.3353577824495835,23.451533794403076
15,1.3,15.062325477600098,18.844635248184204,1.8903495669044543,2.2335715091567776,1.8692408661436914,1.6442325045787696,2.0695175118375406,2.079107966666195,0.9718143145243326,1.4483093664982511,15.923187732696533,,,,,2.9,18.844635248184204,,
16,1.3,15.800481081008911,15.800481081008911,2.0372327451963663,2.258367696036955,2.1000370724543878,1.7338978919810826,2.0695175118375406,2.1039033794301134,0.9411011139551798,1.5734693877551018,14.19957709312439,,,,,,,2.1,15.63854169845581
17,1.5361673151750972,14.058488845825195,14.058488845825195,2.1936429135000104,2.2888847562741708,2.1000370724543878,1.86932341523132,2.0695175118375406,2.1039033794301134,0.8963293929894766,2.3,10.716555833816528,,,,,,,,
18,1.3,14.025239706039429,23.962092876434326,2.218442141210595,2.3136808779823417,2.2717056953724857,1.9437087872122651,2.576873703580917,2.580743860473659,0.9153936306635538,,,2.4132145284032807,23.51686954498291,2.4137783635734684,21.931034088134766,,,1.3,23.962092876434326
19,1.3,17.304816961288452,44.613494634628296,2.374713280141215,2.7142376902479013,2.53110882448264,2.079155106690517,2.6016694469735437,2.580743860473659,0.9871130983034769,1.3508917633653788,17.266055583953857,,,,,2.704937359641338,16.88686513900757,1.802941147215272,44.613494634628296
20,1.5361673151750972,14.469432830810547,14.469432830810547,2.56164495945319,2.7142376902479013,2.53110882448264,2.184061056607418,2.6016694469735437,2.580743860473659,0.9532247682412466,2.3,10.932159423828125,,,,,,,,
21,2.1,9.16722583770752,9.16722583770752,2.56164495945319,2.75430181506412,2.53110882448264,2.294691148019001,2.641746216748407,2.580743860473659,0.8148034314314524,,,,,,,,,,
22,1.3,16.863734006881714,17.590164184570312,2.56164495945319,2.75430181506412,2.7714685536880843,2.384337414590706,2.641746216748407,2.6055460145662495,0.7885943551858267,,,,,,,,,2.1,17.590164184570312
23,1.3,12.89862608909607,23.24697494506836,2.68562632939382,2.7791005213986564,2.7714685536880843,2.4816194638196647,2.666546838504088,3.084306645692996,0.9292983909447988,1.3,17.85815739631653,,,2.5,23.24697494506836,,,,
24,1.3,16.63210678100586,23.369999885559082,2.80960413553845,2.7791005213986564,2.796268069109228,2.5827087185526763,3.1796359127387017,3.084306645692996,0.8992514709631602,1.3,17.62478995323181,2.7,23.369999885559082,,,,,,
25,1.3,15.792104721069336,19.71959114074707,2.966020902110273,3.204438791671147,3.055687224174502,2.693342024056828,3.1796359127387017,3.109113940426218,0.9889588952064514,1.3508917633653788,17.38926672935486,,,,,2.704937359641338,17.37073063850403,1.802941147215272,19.71959114074707
26,1.5361673151750972,14.141353130340576,14.141353130340576,3.166345666998076,3.2349627649096346,3.055687224174502,2.828769853760238,3.2101704899393635,3.109113940426218,0.9622547527154287,2.3,10.157057046890259,,,,,,,,
27,1.3,15.125528573989868,15.192224979400635,3.1911544797621616,3.2349627649096346,3.3112973743525522,2.9184159915774996,3.2349692471398566,3.109113940426218,0.8665137986342112,,,,,,,,,2.1,15.192224979400635
