,time_sta4,time_sta5,round_time,consumption_sta1,consumption_sta0,consumption_sta3,consumption_sta2,consumption_sta4,consumption_sta5,mean_acc,time_sta0,time_sta1,time_sta2,time_sta3
0,18.80514407157898,10.677656888961792,18.80514407157898,0.040058008185066774,0.0,0.0,0.0,0.2339836816765556,0.19161332622666682,0.3940092120319605,,,,
1,,,22.876451015472412,0.4087592384885783,0.16828895371829455,0.42887215392260636,0.578869522454911,0.2339836816765556,0.19161332622666682,0.8133984953165054,11.36313247680664,15.292242050170898,22.876451015472412,21.696289539337158
2,19.692496061325073,15.042611598968506,19.692496061325073,0.4087592384885783,0.3442001963095671,0.42887215392260636,0.6112039438060717,0.4779144107840684,0.30964355421902257,0.7888453031579653,10.11886978149414,,,
3,,14.72460389137268,20.10202693939209,0.7759406051670183,0.509200052430606,0.837679533858994,0.6112039438060717,0.4779144107840684,0.4305627062093502,0.9143141508102417,10.552515983581543,14.790597677230835,,20.10202693939209
4,18.862383604049683,13.208993196487427,18.862383604049683,0.7759406051670183,0.7117794921269991,0.8726830588020711,0.6503253031064156,0.7167093839795396,0.5482430797489548,0.8644659022490183,12.844111442565918,,,
5,,13.141339302062988,23.811434507369995,0.7759406051670183,0.8783720805335649,0.9101140772272984,1.1503291897524144,0.7536060968702448,0.6673519886799943,0.8486076494057974,11.876266717910767,,23.811434507369995,
6,17.59247374534607,12.292386770248413,17.59247374534607,1.1410297183912033,0.9153591965333434,0.9101140772272984,1.1503291897524144,0.9850079720615456,0.7865462522740159,0.8943771123886108,,15.856478929519653,,
7,,12.236946105957031,22.44356942176819,1.1410297183912033,1.0801777806948327,1.2849549571208136,1.1503291897524144,1.02504108454049,0.9051642793009669,0.9194541672865549,12.065155267715454,,,22.44356942176819
8,17.647484302520752,9.923763275146484,17.647484302520752,1.1410297183912033,1.2484904776874441,1.3180915536658198,1.1503291897524144,1.2674915300945973,1.0212932253005156,0.8810523549715678,10.742836952209473,,,
9,,12.31221866607666,23.35921573638916,1.503861945727292,1.2833468315254888,1.3180915536658198,1.655437848585278,1.2674915300945973,1.15456629364853,0.941087414820989,,14.789633750915527,23.35921573638916,
10,18.238816738128662,11.66519021987915,19.171208143234253,1.5439164473405473,1.5268567163810265,1.6889521502832565,1.655437848585278,1.5415305335979408,1.2716716370979468,0.9499673744042715,12.221016645431519,,,19.171208143234253
11,,11.03436279296875,11.03436279296875,1.5439164473405473,1.7352157923296159,1.72456773891129,1.655437848585278,1.5415305335979408,1.4205172780002662,0.9117633601029714,9.87199068069458,,,
12,16.858758687973022,11.841341733932495,16.858758687973022,1.9399438258842896,1.7352157923296159,1.72456773891129,1.6948177023135131,1.7954555201014113,1.5371271600200322,0.9229489068190256,,15.17734408378601,,
