,round_time,consumption_sta1,host_consumption_sta1,consumption_sta0,host_consumption_sta0,consumption_sta3,host_consumption_sta3,consumption_sta2,host_consumption_sta2,consumption_sta5,host_consumption_sta5,consumption_sta4,host_consumption_sta4,mean_acc
0,87.76156830787659,0.014134664500000005,657843513.0,0.003911496166666662,318879933.0,0.011506681166666664,432448752.0,0.01608967216666667,673176704.0,0.009519201083333333,444381209.0,0.009535109083333335,358477098.0,0.9220044513543447
1,88.20321989059448,0.02748640508333336,1343179332.0,0.01038134925,638556714.0,0.02712047316666666,862996174.0,0.03216243558333333,1350801557.0,0.01765180183333334,806876959.0,0.024314864416666665,715587231.0,0.89494522412618
2,61.99075174331665,0.05381886800000005,1741273889.0,0.021803241583333292,1135376007.0,0.037975849000000006,1304765626.0,0.047240065083333296,1838048209.0,0.026897352083333353,1210705257.0,0.03099319116666667,964166279.0,0.926751027504603
3,88.32039403915405,0.06736029525000012,2420743435.0,0.03326988616666653,1600711042.0,0.04980864391666662,1739410156.0,0.06177776725000002,2309324175.0,0.03611521333333334,1597097506.0,0.03864782908333335,1224421085.0,0.9450424313545227
4,86.06753373146057,0.07903955625000028,2860871766.0,0.04145091424999952,2096936921.0,0.06337317400000006,2608482812.0,0.07651939658333347,2812378574.0,0.045455051833333426,2058306931.0,0.04666131708333342,1489915808.0,0.9583927889664968
5,61.2316198348999,0.09074048933333348,3265381654.0,0.047373461083332895,2427777706.0,0.08082628925000016,3074966043.0,0.09213146333333348,3311168896.0,0.05567545858333339,2511979804.0,0.0533458675000001,1751278695.0,0.9652655522028605
6,88.79291319847107,0.10511518024999958,3975900757.0,0.05472955583333288,2767561159.0,0.09165578625000018,3507209818.0,0.10818076758333343,-61525491540.0,0.06771602741666666,2994559188.0,0.0605130180000001,2015996786.0,0.97172944744428
7,90.1911461353302,0.11698404949999933,4379479206.0,0.06179752908333274,3099718039.0,0.10729377900000017,3952970564.0,0.12409748824999993,-60788992961.0,0.07809102500000004,3453604556.0,0.07087889183333347,2268543860.0,0.9758132100105286
8,60.926369190216064,0.130179600333333,4839729605.0,0.06834536066666635,3446103598.0,0.11849068025000017,4444274166.0,0.14394969983333322,-60289947220.0,0.08854691649999985,3934040496.0,0.08212336966666679,2554774022.0,0.9770471851030985
9,60.476085901260376,0.1693545202500001,5234396374.0,0.07920636183333313,3785303692.0,0.13258847825000034,4911825442.0,0.16240734658333317,-59793714886.0,0.09819066641666646,4360164425.0,0.09263513516666684,2929159889.0,0.9793322086334229
10,90.50840878486633,0.1831576961666669,5927378496.0,0.09195167016666644,4122942786.0,0.14332551141666702,5363091229.0,0.17843487808333325,-59064478716.0,0.10727994449999972,4770611460.0,0.10290451700000015,3196849369.0,0.9802776773770651
11,59.95331025123596,0.22138133116666717,6329953487.0,0.11999772391666713,4611525826.0,0.15384190850000026,5791396411.0,0.1975250544166669,-58540798355.0,0.11590575141666626,5158926919.0,0.11134076158333357,3467219374.0,0.981729656457901
12,59.396583557128906,0.2341385135000004,6730769261.0,0.127697477750001,5070344155.0,0.16559290841666666,6228411272.0,0.210949477166667,-58081812052.0,0.12443571824999983,5534065707.0,0.11832854741666683,3717252845.0,0.98253133893013
13,60.282119274139404,0.245892363250002,7130078201.0,0.13539738891666792,5424908628.0,0.1775110857500001,6685864102.0,0.22935350400000043,-57569640175.0,0.1370171846666664,6024291225.0,0.1269747320833337,3985339079.0,0.9834068516890208
14,89.27787899971008,0.25985340241667243,7798672837.0,0.14165074541666817,5757200022.0,0.19298010550000003,7110332354.0,0.24544068816666753,-56859264375.0,0.1472903448333333,6481200656.0,0.13894344466666703,4245777683.0,0.9840892752011617
15,89.71916913986206,0.2734332238333418,8504039954.0,0.15225659433333355,6096471737.0,0.20376955766666652,7554815852.0,0.2618325678333344,-56126927980.0,0.15656836366666643,6885189179.0,0.1473436540833341,4618315591.0,0.9846274256706238
16,89.37353777885437,0.3115420169166766,9153592879.0,0.17913283366666727,6412161755.0,0.2146971775833332,7964989510.0,0.27603509166666795,-55686012153.0,0.1662174665000003,7273192673.0,0.15691268816666754,4862287196.0,0.9854620397090912
17,87.27729749679565,0.32472033525001176,9803389597.0,0.1927687520000005,6728716353.0,0.22674843566666683,8391871685.0,0.2896065460833346,-55246418355.0,0.18217460408333336,7712049159.0,0.16635899716666774,5105633635.0,0.9853228032588959
18,56.40168333053589,0.33628758325001307,10175507209.0,0.2017751934166671,7041804319.0,0.23747116400000048,8817353329.0,0.30394441925000126,-54807002404.0,0.1923356135,8150970003.0,0.1746266914166678,5346147030.0,0.9859419564406077
19,86.91808533668518,0.3496643387500148,10852597225.0,0.21887980883333386,7358254996.0,0.24811150508333416,9227566688.0,0.3187004075000016,-54366538976.0,0.20164696883333294,8534867082.0,0.1812696995000012,5590582341.0,0.9857023457686106
