,freq_sta0,freq_sta1,freq_sta2,freq_sta3,freq_sta5,freq_sta4,round_time,consumption_sta1,consumption_sta0,consumption_sta5,consumption_sta3,consumption_sta4,consumption_sta2,mean_acc
0,1.31,1.31,1.31,1.31,1.31,1.31,147.29002928733826,0.018469264250000006,0.047961666,0.01984194291666666,0.018847954583333326,0.018947958750000007,0.016953772750000005,0.9176003734270731
1,1.31,1.31,1.31,1.31,1.31,1.31,90.4601423740387,0.03668946616666666,0.07836439033333333,0.039213207500000014,0.03678589166666668,0.03848866258333332,0.03611533283333334,0.8864768048127493
2,1.31,1.31,1.31,1.31,1.31,1.31,90.44716882705688,0.055687499583333216,0.1313431549166667,0.06347586916666671,0.058163976000000034,0.061059044333333354,0.05545449299999999,0.9249922037124634
3,1.31,1.31,1.31,1.31,1.31,1.31,89.12586426734924,0.09952327683333326,0.15105217874999993,0.08017665000000011,0.07728967725000008,0.07699171325000002,0.07503186666666672,0.9437441527843475
4,1.31,1.31,1.31,1.31,1.31,1.31,145.4539201259613,0.1162860404166661,0.17984619491666737,0.10475483425000011,0.09687249975000012,0.09261227491666675,0.09307075991666677,0.9544817904631296
5,1.31,1.31,1.31,1.31,1.31,1.31,103.88933086395264,0.13325687408333273,0.22336658708333473,0.12284206750000011,0.11860908358333366,0.1087465382500001,0.11133525066666675,0.9624961018562317
6,1.31,1.31,1.31,1.31,1.31,1.31,89.50179934501648,0.1512286475833324,0.2522959291666678,0.14191267116666662,0.137382282916667,0.1259273336666668,0.1315395658333333,0.9675536851088206
7,1.31,1.31,1.31,1.31,1.31,1.31,88.37760853767395,0.19099997824999956,0.2986438070833342,0.16180192558333317,0.15511132358333374,0.14483186966666678,0.15229689149999995,0.9708994726339976
8,1.31,1.31,1.31,1.31,1.31,1.31,90.45263385772705,0.2076067401666659,0.31750400891666747,0.18128569191666655,0.17423388266666706,0.16194499558333353,0.1718249806666666,0.9727668861548106
9,1.31,1.31,1.31,1.31,1.31,1.31,88.66438007354736,0.2246995034166663,0.331140160666668,0.20258002249999985,0.1917728273333339,0.18251666308333347,0.1924859861666666,0.9750233391920725
10,1.31,1.31,1.31,1.31,1.31,1.31,144.57079148292542,0.24454358199999945,0.3474824345833352,0.22277783258333317,0.21095419966666729,0.2010340001666674,0.21592267133333357,0.9765017032623291
11,1.31,1.31,1.31,1.31,1.31,1.31,89.8777642250061,0.26296178174999985,0.40389200183333523,0.2416477526666665,0.230320478083334,0.22083204200000084,0.2363348385833334,0.9775910278161367
12,1.31,1.31,1.31,1.31,1.31,1.31,119.20943307876587,0.3041484340000009,0.4303237754166683,0.26014392149999976,0.25050761908333397,0.23651625508333407,0.2544636368333333,0.9792250096797943
13,1.31,1.31,1.31,1.31,1.31,1.31,146.558354139328,0.3224138370833347,0.4486559194166673,0.27906733400000017,0.2729227743333337,0.25463748866666747,0.27290038041666687,0.9793028136094412
14,1.31,1.31,1.31,1.31,1.31,1.31,145.4692862033844,0.33906952558333536,0.47125287033333324,0.2975545720833338,0.290248322583334,0.2708516178333341,0.29155102800000043,0.9810924132664999
15,1.31,1.31,1.31,1.31,1.31,1.31,87.47402238845825,0.3575070957500013,0.49376947991666637,0.3196959956666675,0.3082061808333342,0.2896062896666678,0.30973777750000053,0.9807033737500509
16,1.31,1.31,1.31,1.31,1.31,1.31,145.40905094146729,0.40097958341666695,0.5440656214166668,0.33763296608333415,0.3257500186666674,0.3081581500833347,0.3289271905833341,0.981948326031367
17,1.31,1.31,1.31,1.31,1.31,1.31,145.59075689315796,0.4217019344166668,0.6002269017499997,0.35644786258333416,0.34512336250000064,0.32586592283333493,0.3483001995000009,0.9823373556137085
18,1.31,1.31,1.31,1.31,1.31,1.31,145.26498913764954,0.46204393916666797,0.6362026130833325,0.3763968453333346,0.3631223949166674,0.34219352775000156,0.36879446450000086,0.9821817477544149
19,1.31,1.31,1.31,1.31,1.31,1.31,145.56330752372742,0.4788911799166673,0.6669493876666639,0.3951410771666679,0.3823606326666674,0.3581702199166682,0.39251022033333405,0.9825707972049713
